"ID";"Date";"Price";"Amount"
4563;2013-07-25;760;1
4930;2013-07-25;760;1
4565;2013-07-25;760;1
5736;2013-07-25;480;1
5729;2013-07-25;480;1
4620;2013-07-25;400;1
4621;2013-07-25;480;1
4621;2013-07-25;400;1
4864;2013-07-25;480;1
4864;2013-07-25;400;1
14079;2013-07-25;420;1
12859;2013-07-25;450;1
13203;2013-07-26;800;1
13203;2013-07-26;400;1
13205;2013-07-26;400;1
13205;2013-07-26;800;1
13204;2013-07-26;800;1
13204;2013-07-26;400;1
13202;2013-07-26;400;1
13202;2013-07-26;800;1
6933;2013-07-26;640;1
6933;2013-07-26;400;1
5254;2013-07-26;760;1
5253;2013-07-26;760;1
16298;2013-07-26;720;1
13109;2013-07-26;480;1
13108;2013-07-26;480;1
9609;2013-07-26;760;1
9610;2013-07-26;760;1
4656;2013-07-26;480;1
4656;2013-07-26;800;1
4657;2013-07-26;480;1
4657;2013-07-26;800;1
4838;2013-07-26;480;1
4838;2013-07-26;200;1
13486;2013-07-26;320;1
5178;2013-07-26;800;1
5177;2013-07-26;800;1
8217;2013-07-26;640;1
8217;2013-07-26;720;1
7201;2013-07-26;720;1
16299;2013-07-26;640;1
11460;2013-07-26;1840;1
4917;2013-07-29;720;1
4916;2013-07-29;720;1
4659;2013-07-29;280;1
4659;2013-07-29;480;1
4631;2013-07-29;480;1
4632;2013-07-29;480;1
8571;2013-07-29;560;1
8439;2013-07-29;560;1
4947;2013-07-29;640;1
4948;2013-07-29;640;1
16300;2013-07-29;480;1
16301;2013-07-29;480;1
16302;2013-07-29;480;1
5466;2013-07-29;480;1
13208;2013-07-29;920;1
13209;2013-07-29;920;1
4806;2013-07-29;760;1
4806;2013-07-29;420;1
4806;2013-07-29;620;1
4806;2013-07-29;480;1
5218;2013-07-29;420;1
4669;2013-07-29;420;1
4669;2013-07-29;720;1
4912;2013-07-29;480;1
4912;2013-07-29;400;1
4568;2013-07-29;920;1
4569;2013-07-29;920;1
5778;2013-07-29;1120;1
7275;2013-07-29;700;1
7275;2013-07-29;800;1
7274;2013-07-29;800;1
7274;2013-07-29;700;1
4597;2013-07-29;800;1
4935;2013-07-29;800;1
9559;2013-07-29;760;1
9559;2013-07-29;480;1
8402;2013-07-29;480;1
8402;2013-07-29;760;1
5765;2013-07-29;420;1
5765;2013-07-29;1240;1
5251;2013-07-29;620;1
5251;2013-07-29;720;1
5252;2013-07-29;620;1
5252;2013-07-29;720;1
9986;2013-07-29;1440;1
9766;2013-07-29;800;1
9767;2013-07-29;800;1
4992;2013-07-31;880;1
4706;2013-07-31;400;1
13395;2013-07-31;800;1
13394;2013-07-31;800;1
13391;2013-07-31;800;1
8174;2013-07-31;760;1
7372;2013-07-31;560;1
7372;2013-07-31;700;1
16306;2013-07-31;320;1
16307;2013-07-31;480;1
16307;2013-07-31;700;1
8218;2013-08-01;640;1
8218;2013-08-01;800;1
5188;2013-08-01;800;1
5188;2013-08-01;640;1
4513;2013-08-01;560;1
4513;2013-08-01;200;1
4512;2013-08-01;560;1
4512;2013-08-01;1200;1
8476;2013-08-01;800;1
4821;2013-08-01;920;1
4821;2013-08-01;880;1
4821;2013-08-01;980;1
4822;2013-08-01;760;1
16310;2013-08-01;400;1
16311;2013-08-01;400;1
8181;2013-08-01;760;1
6941;2013-08-01;760;1
6939;2013-08-01;760;1
4599;2013-08-01;760;1
4599;2013-08-01;480;1
7045;2013-08-01;560;1
7045;2013-08-01;920;1
8243;2013-08-01;980;1
8244;2013-08-01;980;1
5080;2013-08-01;420;1
4716;2013-08-01;760;1
4716;2013-08-01;480;1
4572;2013-08-01;760;1
4572;2013-08-01;480;1
4572;2013-08-01;800;1
5238;2013-08-01;800;1
11381;2013-08-01;760;1
11381;2013-08-01;700;1
11382;2013-08-01;760;1
11382;2013-08-01;700;1
6984;2013-08-01;800;1
6985;2013-08-01;800;1
5256;2013-08-01;420;1
5256;2013-08-01;620;1
16315;2013-08-01;480;1
5115;2013-08-02;800;1
5018;2013-08-02;560;1
5019;2013-08-02;560;1
8264;2013-08-02;480;1
8264;2013-08-02;700;1
5116;2013-08-02;480;1
5116;2013-08-02;700;1
8265;2013-08-02;700;1
8265;2013-08-02;480;1
11517;2013-08-02;480;1
11516;2013-08-02;480;1
4557;2013-08-02;800;1
4557;2013-08-02;400;1
5163;2013-08-02;800;1
4703;2013-08-02;800;1
8263;2013-08-02;800;1
5650;2013-08-02;800;1
13135;2013-08-02;980;1
13136;2013-08-02;800;1
4942;2013-08-02;800;1
4943;2013-08-02;800;1
8383;2013-08-02;760;1
8383;2013-08-02;800;1
13186;2013-08-02;480;1
4553;2013-08-02;480;1
4553;2013-08-02;400;1
9613;2013-08-02;920;1
9614;2013-08-02;760;1
4554;2013-08-02;480;1
4581;2013-08-02;480;1
4581;2013-08-02;700;1
5509;2013-08-02;700;1
5977;2013-08-02;700;1
5496;2013-08-02;920;1
5495;2013-08-02;920;1
13225;2013-08-02;800;1
13224;2013-08-02;800;1
9906;2013-08-02;480;1
9906;2013-08-02;800;1
9907;2013-08-02;400;1
9907;2013-08-02;480;1
13410;2013-08-02;700;1
13105;2013-08-02;700;1
13105;2013-08-02;800;1
13220;2013-08-02;1600;1
5715;2013-08-02;480;1
9519;2013-08-02;480;1
16318;2013-08-03;860;1
16318;2013-08-03;1960;1
4551;2013-08-05;480;1
4551;2013-08-05;800;1
4550;2013-08-05;800;1
4550;2013-08-05;480;1
13183;2013-08-05;480;1
13183;2013-08-05;400;1
13184;2013-08-05;400;1
13184;2013-08-05;480;1
6963;2013-08-05;920;1
6963;2013-08-05;560;1
6963;2013-08-05;880;1
4798;2013-08-05;920;1
4798;2013-08-05;560;1
4798;2013-08-05;880;1
11410;2013-08-05;760;1
13106;2013-08-05;760;1
8483;2013-08-05;760;1
8483;2013-08-05;700;1
8374;2013-08-05;620;1
8375;2013-08-05;620;1
4674;2013-08-05;640;1
4675;2013-08-05;640;1
8602;2013-08-05;1840;1
8602;2013-08-05;1120;1
5299;2013-08-05;920;1
5300;2013-08-05;1120;1
16319;2013-08-05;400;1
16320;2013-08-05;400;1
13218;2013-08-05;880;1
13219;2013-08-05;880;1
13150;2013-08-05;620;1
4992;2013-08-05;880;1
13120;2013-08-06;720;1
7311;2013-08-06;720;1
6999;2013-08-06;920;1
9561;2013-08-06;920;1
5733;2013-08-06;760;1
5733;2013-08-06;480;1
5733;2013-08-06;700;1
5730;2013-08-06;880;1
5730;2013-08-06;920;1
5001;2013-08-06;700;1
8173;2013-08-06;700;1
5273;2013-08-06;760;1
16322;2013-08-06;760;1
5274;2013-08-06;760;1
16323;2013-08-06;620;1
5290;2013-08-06;620;1
5654;2013-08-06;480;1
5016;2013-08-06;480;1
5016;2013-08-06;760;1
5015;2013-08-06;920;1
5015;2013-08-06;560;1
5015;2013-08-06;920;1
5015;2013-08-06;560;1
5631;2013-08-06;480;1
5631;2013-08-06;760;1
16324;2013-08-06;700;1
16325;2013-08-06;700;1
4701;2013-08-06;760;1
4625;2013-08-06;920;1
4964;2013-08-06;480;1
4965;2013-08-06;480;1
8376;2013-08-06;620;1
5737;2013-08-06;620;1
5737;2013-08-06;720;1
5735;2013-08-06;620;1
5735;2013-08-06;720;1
9639;2013-08-06;620;1
9639;2013-08-06;720;1
9640;2013-08-06;620;1
9640;2013-08-06;720;1
4957;2013-08-06;760;1
4956;2013-08-06;760;1
4593;2013-08-06;620;1
4594;2013-08-06;620;1
4594;2013-08-06;320;1
8432;2013-08-06;420;1
8433;2013-08-06;420;1
7476;2013-08-06;800;1
7475;2013-08-06;800;1
9602;2013-08-06;760;1
5652;2013-08-06;920;1
